Topic : TOPIC1-3, Partition : 0, Offset : 0, Key : None, value : 1
Topic : TOPIC1-3, Partition : 0, Offset : 37, Key : None, value : 38
Topic : TOPIC1-3, Partition : 0, Offset : 38, Key : None, value : 39
Topic : TOPIC1-3, Partition : 0, Offset : 39, Key : None, value : 40
Topic : TOPIC1-3, Partition : 0, Offset : 40, Key : None, value : 41
Topic : TOPIC1-3, Partition : 0, Offset : 41, Key : None, value : 42
Topic : TOPIC1-3, Partition : 0, Offset : 42, Key : None, value : 43
Topic : TOPIC1-3, Partition : 0, Offset : 43, Key : None, value : 44
Topic : TOPIC1-3, Partition : 0, Offset : 44, Key : None, value : 45
Topic : TOPIC1-3, Partition : 0, Offset : 45, Key : None, value : 46
Topic : TOPIC1-3, Partition : 0, Offset : 46, Key : None, value : 47
Topic : TOPIC1-3, Partition : 0, Offset : 47, Key : None, value : 48
Topic : TOPIC1-3, Partition : 0, Offset : 48, Key : None, value : 49
Topic : TOPIC1-3, Partition : 0, Offset : 49, Key : None, value : 50
Topic : TOPIC1-3, Partition : 0, Offset : 50, Key : None, value : 51
Topic : TOPIC1-3, Partition : 0, Offset : 51, Key : None, value : 52
Topic : TOPIC1-3, Partition : 0, Offset : 52, Key : None, value : 53
Topic : TOPIC1-3, Partition : 0, Offset : 53, Key : None, value : 54
Topic : TOPIC1-3, Partition : 0, Offset : 54, Key : None, value : 55
Topic : TOPIC1-3, Partition : 0, Offset : 55, Key : None, value : 56
Topic : TOPIC1-3, Partition : 0, Offset : 56, Key : None, value : 57
Topic : TOPIC1-3, Partition : 0, Offset : 57, Key : None, value : 58
Topic : TOPIC1-3, Partition : 0, Offset : 58, Key : None, value : 59
Topic : TOPIC1-3, Partition : 0, Offset : 59, Key : None, value : 60
Topic : TOPIC1-3, Partition : 0, Offset : 60, Key : None, value : 61
Topic : TOPIC1-3, Partition : 0, Offset : 61, Key : None, value : 62
Topic : TOPIC1-3, Partition : 0, Offset : 62, Key : None, value : 63
Topic : TOPIC1-3, Partition : 0, Offset : 63, Key : None, value : 64
Topic : TOPIC1-3, Partition : 0, Offset : 64, Key : None, value : 65
Topic : TOPIC1-3, Partition : 0, Offset : 65, Key : None, value : 66
Topic : TOPIC1-3, Partition : 0, Offset : 66, Key : None, value : 67
Topic : TOPIC1-3, Partition : 0, Offset : 67, Key : None, value : 68
Topic : TOPIC1-3, Partition : 0, Offset : 68, Key : None, value : 69
Topic : TOPIC1-3, Partition : 0, Offset : 69, Key : None, value : 70
Topic : TOPIC1-3, Partition : 0, Offset : 70, Key : None, value : 71
Topic : TOPIC1-3, Partition : 0, Offset : 71, Key : None, value : 72
Topic : TOPIC1-3, Partition : 0, Offset : 72, Key : None, value : 73
Topic : TOPIC1-3, Partition : 0, Offset : 73, Key : None, value : 74
Topic : TOPIC1-3, Partition : 0, Offset : 74, Key : None, value : 75
Topic : TOPIC1-3, Partition : 0, Offset : 75, Key : None, value : 76
Topic : TOPIC1-3, Partition : 0, Offset : 76, Key : None, value : 77
Topic : TOPIC1-3, Partition : 0, Offset : 77, Key : None, value : 78
Topic : TOPIC1-3, Partition : 0, Offset : 78, Key : None, value : 79
Topic : TOPIC1-3, Partition : 0, Offset : 79, Key : None, value : 80
Topic : TOPIC1-3, Partition : 0, Offset : 80, Key : None, value : 81
Topic : TOPIC1-3, Partition : 0, Offset : 81, Key : None, value : 82
Topic : TOPIC1-3, Partition : 0, Offset : 82, Key : None, value : 83
Topic : TOPIC1-3, Partition : 0, Offset : 83, Key : None, value : 84
Topic : TOPIC1-3, Partition : 0, Offset : 84, Key : None, value : 85
Topic : TOPIC1-3, Partition : 0, Offset : 85, Key : None, value : 86
Topic : TOPIC1-3, Partition : 0, Offset : 86, Key : None, value : 87
Topic : TOPIC1-3, Partition : 0, Offset : 87, Key : None, value : 88
Topic : TOPIC1-3, Partition : 0, Offset : 88, Key : None, value : 89
Topic : TOPIC1-3, Partition : 0, Offset : 89, Key : None, value : 90
Topic : TOPIC1-3, Partition : 0, Offset : 90, Key : None, value : 91
Topic : TOPIC1-3, Partition : 0, Offset : 91, Key : None, value : 92
Topic : TOPIC1-3, Partition : 0, Offset : 92, Key : None, value : 93
Topic : TOPIC1-3, Partition : 0, Offset : 93, Key : None, value : 94
Topic : TOPIC1-3, Partition : 0, Offset : 94, Key : None, value : 95
Topic : TOPIC1-3, Partition : 0, Offset : 95, Key : None, value : 96
Topic : TOPIC1-3, Partition : 0, Offset : 96, Key : None, value : 97
Topic : TOPIC1-3, Partition : 0, Offset : 97, Key : None, value : 98
Topic : TOPIC1-3, Partition : 0, Offset : 98, Key : None, value : 99
Topic : TOPIC1-3, Partition : 0, Offset : 99, Key : None, value : 100
Topic : TOPIC1-3, Partition : 0, Offset : 100, Key : None, value : 101
Topic : TOPIC1-3, Partition : 0, Offset : 101, Key : None, value : 102
Topic : TOPIC1-3, Partition : 0, Offset : 102, Key : None, value : 103
Topic : TOPIC1-3, Partition : 0, Offset : 103, Key : None, value : 104
Topic : TOPIC1-3, Partition : 0, Offset : 104, Key : None, value : 105
Topic : TOPIC1-3, Partition : 0, Offset : 105, Key : None, value : 106
Topic : TOPIC1-3, Partition : 0, Offset : 106, Key : None, value : 107
Topic : TOPIC1-3, Partition : 0, Offset : 107, Key : None, value : 108
Topic : TOPIC1-3, Partition : 0, Offset : 108, Key : None, value : 109
Topic : TOPIC1-3, Partition : 0, Offset : 109, Key : None, value : 110
Topic : TOPIC1-3, Partition : 0, Offset : 110, Key : None, value : 111
Topic : TOPIC1-3, Partition : 0, Offset : 111, Key : None, value : 112
Topic : TOPIC1-3, Partition : 0, Offset : 112, Key : None, value : 113
Topic : TOPIC1-3, Partition : 0, Offset : 113, Key : None, value : 114
Topic : TOPIC1-3, Partition : 0, Offset : 114, Key : None, value : 115
Topic : TOPIC1-3, Partition : 0, Offset : 115, Key : None, value : 116
Topic : TOPIC1-3, Partition : 0, Offset : 116, Key : None, value : 117
Topic : TOPIC1-3, Partition : 0, Offset : 117, Key : None, value : 118
Topic : TOPIC1-3, Partition : 0, Offset : 118, Key : None, value : 119
Topic : TOPIC1-3, Partition : 0, Offset : 119, Key : None, value : 120
Topic : TOPIC1-3, Partition : 0, Offset : 120, Key : None, value : 121
Topic : TOPIC1-3, Partition : 0, Offset : 121, Key : None, value : 122
Topic : TOPIC1-3, Partition : 0, Offset : 122, Key : None, value : 123
Topic : TOPIC1-3, Partition : 0, Offset : 123, Key : None, value : 124
Topic : TOPIC1-3, Partition : 0, Offset : 124, Key : None, value : 125
Topic : TOPIC1-3, Partition : 0, Offset : 125, Key : None, value : 126
Topic : TOPIC1-3, Partition : 0, Offset : 126, Key : None, value : 127
Topic : TOPIC1-3, Partition : 0, Offset : 127, Key : None, value : 128
Topic : TOPIC1-3, Partition : 0, Offset : 128, Key : None, value : 129
Topic : TOPIC1-3, Partition : 0, Offset : 129, Key : None, value : 130
Topic : TOPIC1-3, Partition : 0, Offset : 130, Key : None, value : 131
Topic : TOPIC1-3, Partition : 0, Offset : 131, Key : None, value : 132
Topic : TOPIC1-3, Partition : 0, Offset : 132, Key : None, value : 133
Topic : TOPIC1-3, Partition : 0, Offset : 133, Key : None, value : 134
Topic : TOPIC1-3, Partition : 0, Offset : 134, Key : None, value : 135
Topic : TOPIC1-3, Partition : 0, Offset : 135, Key : None, value : 136
Topic : TOPIC1-3, Partition : 0, Offset : 136, Key : None, value : 137
Topic : TOPIC1-3, Partition : 0, Offset : 137, Key : None, value : 138
Topic : TOPIC1-3, Partition : 0, Offset : 138, Key : None, value : 139
Topic : TOPIC1-3, Partition : 0, Offset : 139, Key : None, value : 140
Topic : TOPIC1-3, Partition : 0, Offset : 140, Key : None, value : 141
Topic : TOPIC1-3, Partition : 0, Offset : 141, Key : None, value : 142
Topic : TOPIC1-3, Partition : 0, Offset : 142, Key : None, value : 143
Topic : TOPIC1-3, Partition : 0, Offset : 143, Key : None, value : 144
Topic : TOPIC1-3, Partition : 0, Offset : 144, Key : None, value : 145
Topic : TOPIC1-3, Partition : 0, Offset : 145, Key : None, value : 146
Topic : TOPIC1-3, Partition : 0, Offset : 146, Key : None, value : 147
Topic : TOPIC1-3, Partition : 0, Offset : 147, Key : None, value : 148
Topic : TOPIC1-3, Partition : 0, Offset : 148, Key : None, value : 149
Topic : TOPIC1-3, Partition : 0, Offset : 149, Key : None, value : 150
Topic : TOPIC1-3, Partition : 0, Offset : 150, Key : None, value : 151
Topic : TOPIC1-3, Partition : 0, Offset : 151, Key : None, value : 152
Topic : TOPIC1-3, Partition : 0, Offset : 152, Key : None, value : 153
Topic : TOPIC1-3, Partition : 0, Offset : 153, Key : None, value : 154
Topic : TOPIC1-3, Partition : 0, Offset : 154, Key : None, value : 155
Topic : TOPIC1-3, Partition : 0, Offset : 155, Key : None, value : 156
Topic : TOPIC1-3, Partition : 0, Offset : 156, Key : None, value : 157
Topic : TOPIC1-3, Partition : 0, Offset : 157, Key : None, value : 158
Topic : TOPIC1-3, Partition : 0, Offset : 158, Key : None, value : 159
Topic : TOPIC1-3, Partition : 0, Offset : 159, Key : None, value : 160
Topic : TOPIC1-3, Partition : 0, Offset : 160, Key : None, value : 161
Topic : TOPIC1-3, Partition : 0, Offset : 161, Key : None, value : 162
Topic : TOPIC1-3, Partition : 0, Offset : 162, Key : None, value : 163
Topic : TOPIC1-3, Partition : 0, Offset : 163, Key : None, value : 164
Topic : TOPIC1-3, Partition : 0, Offset : 164, Key : None, value : 165
Topic : TOPIC1-3, Partition : 0, Offset : 165, Key : None, value : 166
Topic : TOPIC1-3, Partition : 0, Offset : 166, Key : None, value : 167
Topic : TOPIC1-3, Partition : 0, Offset : 167, Key : None, value : 168
Topic : TOPIC1-3, Partition : 0, Offset : 168, Key : None, value : 169
Topic : TOPIC1-3, Partition : 0, Offset : 169, Key : None, value : 170
Topic : TOPIC1-3, Partition : 0, Offset : 170, Key : None, value : 171
Topic : TOPIC1-3, Partition : 0, Offset : 171, Key : None, value : 172
Topic : TOPIC1-3, Partition : 0, Offset : 172, Key : None, value : 173
Topic : TOPIC1-3, Partition : 0, Offset : 173, Key : None, value : 174
Topic : TOPIC1-3, Partition : 0, Offset : 174, Key : None, value : 175
Topic : TOPIC1-3, Partition : 0, Offset : 175, Key : None, value : 176
Topic : TOPIC1-3, Partition : 0, Offset : 176, Key : None, value : 177
Topic : TOPIC1-3, Partition : 0, Offset : 177, Key : None, value : 178
Topic : TOPIC1-3, Partition : 0, Offset : 178, Key : None, value : 179
Topic : TOPIC1-3, Partition : 0, Offset : 179, Key : None, value : 180
Topic : TOPIC1-3, Partition : 0, Offset : 180, Key : None, value : 181
Topic : TOPIC1-3, Partition : 0, Offset : 181, Key : None, value : 182
Topic : TOPIC1-3, Partition : 0, Offset : 182, Key : None, value : 183
Topic : TOPIC1-3, Partition : 0, Offset : 183, Key : None, value : 184
Topic : TOPIC1-3, Partition : 0, Offset : 184, Key : None, value : 185
Topic : TOPIC1-3, Partition : 0, Offset : 185, Key : None, value : 186
Topic : TOPIC1-3, Partition : 0, Offset : 186, Key : None, value : 187
Topic : TOPIC1-3, Partition : 0, Offset : 187, Key : None, value : 188
Topic : TOPIC1-3, Partition : 0, Offset : 188, Key : None, value : 189
Topic : TOPIC1-3, Partition : 0, Offset : 189, Key : None, value : 190
Topic : TOPIC1-3, Partition : 0, Offset : 190, Key : None, value : 191
Topic : TOPIC1-3, Partition : 0, Offset : 191, Key : None, value : 192
Topic : TOPIC1-3, Partition : 0, Offset : 192, Key : None, value : 193
Topic : TOPIC1-3, Partition : 0, Offset : 193, Key : None, value : 194
Topic : TOPIC1-3, Partition : 0, Offset : 194, Key : None, value : 195
Topic : TOPIC1-3, Partition : 0, Offset : 195, Key : None, value : 196
Topic : TOPIC1-3, Partition : 0, Offset : 196, Key : None, value : 197
Topic : TOPIC1-3, Partition : 0, Offset : 197, Key : None, value : 198
Topic : TOPIC1-3, Partition : 0, Offset : 198, Key : None, value : 199
Topic : TOPIC1-3, Partition : 0, Offset : 199, Key : None, value : 200
Topic : TOPIC1-3, Partition : 0, Offset : 200, Key : None, value : 201
Topic : TOPIC1-3, Partition : 0, Offset : 201, Key : None, value : 202
Topic : TOPIC1-3, Partition : 0, Offset : 202, Key : None, value : 203
Topic : TOPIC1-3, Partition : 0, Offset : 203, Key : None, value : 204
Topic : TOPIC1-3, Partition : 0, Offset : 204, Key : None, value : 205
Topic : TOPIC1-3, Partition : 0, Offset : 205, Key : None, value : 206
Topic : TOPIC1-3, Partition : 0, Offset : 206, Key : None, value : 207
Topic : TOPIC1-3, Partition : 0, Offset : 207, Key : None, value : 208
Topic : TOPIC1-3, Partition : 0, Offset : 208, Key : None, value : 209
Topic : TOPIC1-3, Partition : 0, Offset : 209, Key : None, value : 210
Topic : TOPIC1-3, Partition : 0, Offset : 210, Key : None, value : 211
Topic : TOPIC1-3, Partition : 0, Offset : 211, Key : None, value : 212
Topic : TOPIC1-3, Partition : 0, Offset : 212, Key : None, value : 213
Topic : TOPIC1-3, Partition : 0, Offset : 213, Key : None, value : 214
Topic : TOPIC1-3, Partition : 0, Offset : 214, Key : None, value : 215
Topic : TOPIC1-3, Partition : 0, Offset : 215, Key : None, value : 216
Topic : TOPIC1-3, Partition : 0, Offset : 216, Key : None, value : 217
Topic : TOPIC1-3, Partition : 0, Offset : 217, Key : None, value : 218
Topic : TOPIC1-3, Partition : 0, Offset : 218, Key : None, value : 219
Topic : TOPIC1-3, Partition : 0, Offset : 219, Key : None, value : 220
Topic : TOPIC1-3, Partition : 0, Offset : 220, Key : None, value : 221
Topic : TOPIC1-3, Partition : 0, Offset : 221, Key : None, value : 222
Topic : TOPIC1-3, Partition : 0, Offset : 222, Key : None, value : 223
Topic : TOPIC1-3, Partition : 0, Offset : 223, Key : None, value : 224
Topic : TOPIC1-3, Partition : 0, Offset : 224, Key : None, value : 225
Topic : TOPIC1-3, Partition : 0, Offset : 225, Key : None, value : 226
Topic : TOPIC1-3, Partition : 0, Offset : 226, Key : None, value : 227
Topic : TOPIC1-3, Partition : 0, Offset : 227, Key : None, value : 228
Topic : TOPIC1-3, Partition : 0, Offset : 228, Key : None, value : 229
Topic : TOPIC1-3, Partition : 0, Offset : 229, Key : None, value : 230
Topic : TOPIC1-3, Partition : 0, Offset : 230, Key : None, value : 231
Topic : TOPIC1-3, Partition : 0, Offset : 231, Key : None, value : 232
Topic : TOPIC1-3, Partition : 0, Offset : 232, Key : None, value : 233
Topic : TOPIC1-3, Partition : 0, Offset : 233, Key : None, value : 234
Topic : TOPIC1-3, Partition : 0, Offset : 234, Key : None, value : 235
Topic : TOPIC1-3, Partition : 0, Offset : 235, Key : None, value : 236
Topic : TOPIC1-3, Partition : 0, Offset : 236, Key : None, value : 237
Topic : TOPIC1-3, Partition : 0, Offset : 237, Key : None, value : 238
Topic : TOPIC1-3, Partition : 0, Offset : 238, Key : None, value : 239
Topic : TOPIC1-3, Partition : 0, Offset : 239, Key : None, value : 240
Topic : TOPIC1-3, Partition : 0, Offset : 240, Key : None, value : 241
Topic : TOPIC1-3, Partition : 0, Offset : 241, Key : None, value : 242
Topic : TOPIC1-3, Partition : 0, Offset : 242, Key : None, value : 243
Topic : TOPIC1-3, Partition : 0, Offset : 243, Key : None, value : 244
Topic : TOPIC1-3, Partition : 0, Offset : 244, Key : None, value : 245
Topic : TOPIC1-3, Partition : 0, Offset : 245, Key : None, value : 246
Topic : TOPIC1-3, Partition : 0, Offset : 246, Key : None, value : 247
Topic : TOPIC1-3, Partition : 0, Offset : 247, Key : None, value : 248
Topic : TOPIC1-3, Partition : 0, Offset : 248, Key : None, value : 249
Topic : TOPIC1-3, Partition : 0, Offset : 249, Key : None, value : 250
Topic : TOPIC1-3, Partition : 0, Offset : 250, Key : None, value : 251
Topic : TOPIC1-3, Partition : 0, Offset : 251, Key : None, value : 252
Topic : TOPIC1-3, Partition : 0, Offset : 252, Key : None, value : 253
Topic : TOPIC1-3, Partition : 0, Offset : 253, Key : None, value : 254
Topic : TOPIC1-3, Partition : 0, Offset : 254, Key : None, value : 255
Topic : TOPIC1-3, Partition : 0, Offset : 255, Key : None, value : 256
Topic : TOPIC1-3, Partition : 0, Offset : 256, Key : None, value : 257
Topic : TOPIC1-3, Partition : 0, Offset : 257, Key : None, value : 258
Topic : TOPIC1-3, Partition : 0, Offset : 258, Key : None, value : 259
Topic : TOPIC1-3, Partition : 0, Offset : 259, Key : None, value : 260
Topic : TOPIC1-3, Partition : 0, Offset : 260, Key : None, value : 261
Topic : TOPIC1-3, Partition : 0, Offset : 261, Key : None, value : 262
Topic : TOPIC1-3, Partition : 0, Offset : 262, Key : None, value : 263
Topic : TOPIC1-3, Partition : 0, Offset : 263, Key : None, value : 264
Topic : TOPIC1-3, Partition : 0, Offset : 264, Key : None, value : 265
Topic : TOPIC1-3, Partition : 0, Offset : 265, Key : None, value : 266
Topic : TOPIC1-3, Partition : 0, Offset : 266, Key : None, value : 267
Topic : TOPIC1-3, Partition : 0, Offset : 267, Key : None, value : 268
Topic : TOPIC1-3, Partition : 0, Offset : 268, Key : None, value : 269
Topic : TOPIC1-3, Partition : 0, Offset : 269, Key : None, value : 270
Topic : TOPIC1-3, Partition : 0, Offset : 270, Key : None, value : 271
Topic : TOPIC1-3, Partition : 0, Offset : 271, Key : None, value : 272
Topic : TOPIC1-3, Partition : 0, Offset : 272, Key : None, value : 273
Topic : TOPIC1-3, Partition : 0, Offset : 273, Key : None, value : 274
Topic : TOPIC1-3, Partition : 0, Offset : 274, Key : None, value : 275
Topic : TOPIC1-3, Partition : 0, Offset : 275, Key : None, value : 276
Topic : TOPIC1-3, Partition : 0, Offset : 276, Key : None, value : 277
Topic : TOPIC1-3, Partition : 0, Offset : 277, Key : None, value : 278
Topic : TOPIC1-3, Partition : 0, Offset : 278, Key : None, value : 279
Topic : TOPIC1-3, Partition : 0, Offset : 279, Key : None, value : 280
Topic : TOPIC1-3, Partition : 0, Offset : 280, Key : None, value : 281
Topic : TOPIC1-3, Partition : 0, Offset : 281, Key : None, value : 282
Topic : TOPIC1-3, Partition : 0, Offset : 282, Key : None, value : 283
Topic : TOPIC1-3, Partition : 0, Offset : 283, Key : None, value : 284
Topic : TOPIC1-3, Partition : 0, Offset : 284, Key : None, value : 285
Topic : TOPIC1-3, Partition : 0, Offset : 285, Key : None, value : 286
Topic : TOPIC1-3, Partition : 0, Offset : 286, Key : None, value : 287
Topic : TOPIC1-3, Partition : 0, Offset : 287, Key : None, value : 288
Topic : TOPIC1-3, Partition : 0, Offset : 288, Key : None, value : 289
Topic : TOPIC1-3, Partition : 0, Offset : 289, Key : None, value : 290
Topic : TOPIC1-3, Partition : 0, Offset : 290, Key : None, value : 291
Topic : TOPIC1-3, Partition : 0, Offset : 291, Key : None, value : 292
Topic : TOPIC1-3, Partition : 0, Offset : 292, Key : None, value : 293
Topic : TOPIC1-3, Partition : 0, Offset : 293, Key : None, value : 294
Topic : TOPIC1-3, Partition : 0, Offset : 294, Key : None, value : 295
Topic : TOPIC1-3, Partition : 0, Offset : 295, Key : None, value : 296
Topic : TOPIC1-3, Partition : 0, Offset : 296, Key : None, value : 297
Topic : TOPIC1-3, Partition : 0, Offset : 297, Key : None, value : 298
Topic : TOPIC1-3, Partition : 0, Offset : 298, Key : None, value : 299
Topic : TOPIC1-3, Partition : 0, Offset : 299, Key : None, value : 300
Topic : TOPIC1-3, Partition : 0, Offset : 300, Key : None, value : 301
Topic : TOPIC1-3, Partition : 0, Offset : 301, Key : None, value : 302
Topic : TOPIC1-3, Partition : 0, Offset : 302, Key : None, value : 303
Topic : TOPIC1-3, Partition : 0, Offset : 303, Key : None, value : 304
Topic : TOPIC1-3, Partition : 0, Offset : 304, Key : None, value : 305
Topic : TOPIC1-3, Partition : 0, Offset : 305, Key : None, value : 306
Topic : TOPIC1-3, Partition : 0, Offset : 306, Key : None, value : 307
Topic : TOPIC1-3, Partition : 0, Offset : 307, Key : None, value : 308
Topic : TOPIC1-3, Partition : 0, Offset : 308, Key : None, value : 309
Topic : TOPIC1-3, Partition : 0, Offset : 309, Key : None, value : 310
Topic : TOPIC1-3, Partition : 0, Offset : 310, Key : None, value : 311
Topic : TOPIC1-3, Partition : 0, Offset : 311, Key : None, value : 312
Topic : TOPIC1-3, Partition : 0, Offset : 312, Key : None, value : 313
Topic : TOPIC1-3, Partition : 0, Offset : 313, Key : None, value : 314
Topic : TOPIC1-3, Partition : 0, Offset : 314, Key : None, value : 315
Topic : TOPIC1-3, Partition : 0, Offset : 315, Key : None, value : 316
Topic : TOPIC1-3, Partition : 0, Offset : 316, Key : None, value : 317
Topic : TOPIC1-3, Partition : 0, Offset : 317, Key : None, value : 318
Topic : TOPIC1-3, Partition : 0, Offset : 318, Key : None, value : 319
Topic : TOPIC1-3, Partition : 0, Offset : 319, Key : None, value : 320
Topic : TOPIC1-3, Partition : 0, Offset : 320, Key : None, value : 321
Topic : TOPIC1-3, Partition : 0, Offset : 321, Key : None, value : 322
Topic : TOPIC1-3, Partition : 0, Offset : 322, Key : None, value : 323
Topic : TOPIC1-3, Partition : 0, Offset : 323, Key : None, value : 324
Topic : TOPIC1-3, Partition : 0, Offset : 324, Key : None, value : 325
Topic : TOPIC1-3, Partition : 0, Offset : 325, Key : None, value : 326
Topic : TOPIC1-3, Partition : 0, Offset : 326, Key : None, value : 327
Topic : TOPIC1-3, Partition : 0, Offset : 327, Key : None, value : 328
Topic : TOPIC1-3, Partition : 0, Offset : 328, Key : None, value : 329
Topic : TOPIC1-3, Partition : 0, Offset : 329, Key : None, value : 330
Topic : TOPIC1-3, Partition : 0, Offset : 330, Key : None, value : 331
Topic : TOPIC1-3, Partition : 0, Offset : 331, Key : None, value : 332
Topic : TOPIC1-3, Partition : 0, Offset : 332, Key : None, value : 333
Topic : TOPIC1-3, Partition : 0, Offset : 333, Key : None, value : 334
Topic : TOPIC1-3, Partition : 0, Offset : 334, Key : None, value : 335
Topic : TOPIC1-3, Partition : 0, Offset : 335, Key : None, value : 336
Topic : TOPIC1-3, Partition : 0, Offset : 336, Key : None, value : 337
Topic : TOPIC1-3, Partition : 0, Offset : 337, Key : None, value : 338
Topic : TOPIC1-3, Partition : 0, Offset : 338, Key : None, value : 339
Topic : TOPIC1-3, Partition : 0, Offset : 339, Key : None, value : 340
Topic : TOPIC1-3, Partition : 0, Offset : 340, Key : None, value : 341
Topic : TOPIC1-3, Partition : 0, Offset : 341, Key : None, value : 342
Topic : TOPIC1-3, Partition : 0, Offset : 342, Key : None, value : 343
Topic : TOPIC1-3, Partition : 0, Offset : 343, Key : None, value : 344
Topic : TOPIC1-3, Partition : 0, Offset : 344, Key : None, value : 345
Topic : TOPIC1-3, Partition : 0, Offset : 345, Key : None, value : 346
Topic : TOPIC1-3, Partition : 0, Offset : 346, Key : None, value : 347
Topic : TOPIC1-3, Partition : 0, Offset : 347, Key : None, value : 348
Topic : TOPIC1-3, Partition : 0, Offset : 348, Key : None, value : 349
Topic : TOPIC1-3, Partition : 0, Offset : 349, Key : None, value : 350
Topic : TOPIC1-3, Partition : 0, Offset : 350, Key : None, value : 351
Topic : TOPIC1-3, Partition : 0, Offset : 351, Key : None, value : 352
Topic : TOPIC1-3, Partition : 0, Offset : 352, Key : None, value : 353
Topic : TOPIC1-3, Partition : 0, Offset : 353, Key : None, value : 354
Topic : TOPIC1-3, Partition : 0, Offset : 354, Key : None, value : 355
Topic : TOPIC1-3, Partition : 0, Offset : 355, Key : None, value : 356
Topic : TOPIC1-3, Partition : 0, Offset : 356, Key : None, value : 357
Topic : TOPIC1-3, Partition : 0, Offset : 357, Key : None, value : 358
Topic : TOPIC1-3, Partition : 0, Offset : 358, Key : None, value : 359
Topic : TOPIC1-3, Partition : 0, Offset : 359, Key : None, value : 360
Topic : TOPIC1-3, Partition : 0, Offset : 360, Key : None, value : 361
Topic : TOPIC1-3, Partition : 0, Offset : 361, Key : None, value : 362
Topic : TOPIC1-3, Partition : 0, Offset : 362, Key : None, value : 363
Topic : TOPIC1-3, Partition : 0, Offset : 363, Key : None, value : 364
Topic : TOPIC1-3, Partition : 0, Offset : 364, Key : None, value : 365
Topic : TOPIC1-3, Partition : 0, Offset : 365, Key : None, value : 366
Topic : TOPIC1-3, Partition : 0, Offset : 366, Key : None, value : 367
Topic : TOPIC1-3, Partition : 0, Offset : 367, Key : None, value : 368
Topic : TOPIC1-3, Partition : 0, Offset : 368, Key : None, value : 369
Topic : TOPIC1-3, Partition : 0, Offset : 369, Key : None, value : 370
Topic : TOPIC1-3, Partition : 0, Offset : 370, Key : None, value : 371
Topic : TOPIC1-3, Partition : 0, Offset : 371, Key : None, value : 372
Topic : TOPIC1-3, Partition : 0, Offset : 372, Key : None, value : 373
Topic : TOPIC1-3, Partition : 0, Offset : 373, Key : None, value : 374
Topic : TOPIC1-3, Partition : 0, Offset : 374, Key : None, value : 375
Topic : TOPIC1-3, Partition : 0, Offset : 375, Key : None, value : 376
Topic : TOPIC1-3, Partition : 0, Offset : 376, Key : None, value : 377
